Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
260,260,1,1097,2858,608,2064,2858,260,1617,2716,919,1617,1210,260,589,1196,590
1196,1196,2987,1,1270,1617,246,1196,1097,541,1214,588,924,2396,1196,2571,1210,1304
1210,1210,2355,34,1580,858,162,2028,2628,2987,1387,1220,648,1197,1210,593,2028,2012
480,480,3114,919,2396,296,3007,593,2174,1252,1219,2657,3176,1265,480,608,110,3671
2028,1580,588,2355,1197,50,1147,608,2797,913,2710,364,1252,356,589,2762,527,1266
589,1198,3751,3114,1265,1221,1189,110,1073,1179,2657,1288,1732,912,2571,1617,356,2701
2571,1197,2700,588,2997,1213,2859,527,367,1748,1278,595,904,377,1270,1240,1200,1201
1580,2628,364,3751,356,2000,2677,1097,2100,1267,1258,2081,913,1307,1580,1214,780,368
1198,2916,595,1073,2716,592,2693,318,2054,3683,2455,1028,1909,1721,1097,2916,912,266
110,2987,2081,364,1,1089,1191,858,2968,3435,3081,551,903,2291,2628,457,750,2527
